学部,学院,学历,毕业年度,去向类别,单位名称,人数
人文学部,体育学院,本科,2021,出国(境)留学或工作,爱丁堡大学,1
人文学部,体育学院,本科,2021,升学,中南大学,2
人文学部,体育学院,本科,2021,升学,四川大学,1
人文学部,体育学院,本科,2021,就业,其他,14
人文学部,体育学院,本科,2021,就业,重庆大学,4
人文学部,体育学院,本科,2021,就业,重庆高新区公共服务局,2
人文学部,体育学院,本科,2021,志愿服务西部计划,共青团重庆两江新区工作委员会,1
人文学部,体育学院,本科,2022,升学,中南大学,3
人文学部,体育学院,本科,2022,升学,重庆大学,7
人文学部,体育学院,本科,2022,就业,其他,15
人文学部,体育学院,本科,2022,就业,重庆树人立德小学,2
人文学部,体育学院,本科,2022,选调生,中共甘孜州委组织部,1
人文学部,体育学院,本科,2023,升学,华南理工大学,1
人文学部,体育学院,本科,2023,升学,四川大学,2
人文学部,体育学院,本科,2023,升学,广西民族大学,1
人文学部,体育学院,本科,2023,升学,深圳大学,1
人文学部,体育学院,本科,2023,升学,重庆大学,3
人文学部,体育学院,本科,2023,就业,其他,11
人文学部,体育学院,本科,2023,就业,深圳市龙岗区教育局,2
人文学部,体育学院,本科,2023,选调生,中国共产党宜宾市委员会组织部,1
人文学部,体育学院,硕士,2021,就业,其他,11
人文学部,体育学院,硕士,2021,就业,重庆城市科技学院,2
人文学部,体育学院,硕士,2021,就业,重庆电力高等专科学校,4
人文学部,体育学院,硕士,2021,选调生,国家信访局,1
人文学部,体育学院,硕士,2022,升学,清华大学,1
人文学部,体育学院,硕士,2022,就业,其他,16
人文学部,体育学院,硕士,2022,就业,重庆工业职业技术学院,2
人文学部,体育学院,硕士,2022,选调生,中共南昌市委组织部,1
人文学部,体育学院,硕士,2023,出国(境)留学或工作,拉夫堡大学,1
人文学部,体育学院,硕士,2023,就业,其他,11
人文学部,体育学院,硕士,2023,就业,重庆高新技术产业开发区管理委员会,2
人文学部,体育学院,硕士,2023,选调生,中共安顺市委组织部,1
人文学部,博雅学院,博士,2021,就业,四川师范大学,1
人文学部,博雅学院,博士,2021,就业,重庆市潼南区人力资源和社会保障局,1
人文学部,博雅学院,博士,2022,就业,太原学院,1
人文学部,博雅学院,博士,2023,就业,西华大学,1
人文学部,博雅学院,本科,2021,出国(境)留学或工作,布里斯托大学,1
人文学部,博雅学院,本科,2021,升学,中国人民大学,2
人文学部,博雅学院,本科,2021,升学,中国社会科学院大学,1
人文学部,博雅学院,本科,2021,升学,中国科学技术大学,1
人文学部,博雅学院,本科,2021,升学,中央民族大学,1
人文学部,博雅学院,本科,2021,升学,中山大学,4
人文学部,博雅学院,本科,2021,升学,华东师范大学,3
人文学部,博雅学院,本科,2021,升学,华中科技大学,2
人文学部,博雅学院,本科,2021,升学,厦门大学,2
人文学部,博雅学院,本科,2021,升学,武汉大学,5
人文学部,博雅学院,本科,2021,升学,重庆大学,3
人文学部,博雅学院,本科,2021,就业,其他,5
人文学部,博雅学院,本科,2021,选调生,中国共产党遂宁市委组织部,1
人文学部,博雅学院,本科,2022,出国(境)留学或工作,博洛尼亚大学,1
人文学部,博雅学院,本科,2022,出国(境)留学或工作,名进日本语学校,1
人文学部,博雅学院,本科,2022,出国(境)留学或工作,曼彻斯特大学,1
人文学部,博雅学院,本科,2022,出国(境)留学或工作,澳门大学,1
人文学部,博雅学院,本科,2022,出国(境)留学或工作,香港大学,1
人文学部,博雅学院,本科,2022,升学,中国人民大学,3
人文学部,博雅学院,本科,2022,升学,中国传媒大学,1
人文学部,博雅学院,本科,2022,升学,中央民族大学,1
人文学部,博雅学院,本科,2022,升学,北京大学,2
人文学部,博雅学院,本科,2022,升学,华东师范大学,2
人文学部,博雅学院,本科,2022,升学,南京大学,2
人文学部,博雅学院,本科,2022,升学,南开大学,1
人文学部,博雅学院,本科,2022,升学,厦门大学,2
人文学部,博雅学院,本科,2022,升学,山东大学,1
人文学部,博雅学院,本科,2022,升学,武汉大学,3
人文学部,博雅学院,本科,2022,升学,浙江大学,1
人文学部,博雅学院,本科,2022,升学,重庆大学,4
人文学部,博雅学院,本科,2022,就业,其他,7
人文学部,博雅学院,本科,2022,志愿服务西部计划,彭水县第五小学,1
人文学部,博雅学院,本科,2023,出国(境)留学或工作,爱丁堡大学,2
人文学部,博雅学院,本科,2023,出国(境)留学或工作,香港大学,1
人文学部,博雅学院,本科,2023,升学,上海大学,1
人文学部,博雅学院,本科,2023,升学,中南财经政法大学,1
人文学部,博雅学院,本科,2023,升学,中国人民大学,1
人文学部,博雅学院,本科,2023,升学,中山大学,2
人文学部,博雅学院,本科,2023,升学,华东师范大学,1
人文学部,博雅学院,本科,2023,升学,华中师范大学,1
人文学部,博雅学院,本科,2023,升学,南京大学,1
人文学部,博雅学院,本科,2023,升学,外交学院,2
人文学部,博雅学院,本科,2023,升学,武汉大学,4
人文学部,博雅学院,本科,2023,升学,浙江大学,2
人文学部,博雅学院,本科,2023,升学,重庆大学,4
人文学部,博雅学院,本科,2023,就业,其他,10
人文学部,博雅学院,本科,2023,选调生,中共石家庄市委组织部,1
人文学部,博雅学院,硕士,2021,出国(境)留学或工作,香港大学,1
