学部,学院,学历,毕业年度,去向类别,单位名称,人数
人文学部,外国语学院,本科,2021,升学,重庆大学,14
人文学部,外国语学院,本科,2021,升学,武汉大学,4
人文学部,外国语学院,本科,2021,升学,北京外国语大学,4
人文学部,外国语学院,本科,2021,就业,重庆晓道信息科技有限公司,4
人文学部,外国语学院,本科,2021,升学,北京师范大学,3
人文学部,外国语学院,本科,2021,出国(境)留学或工作,华威大学,3
人文学部,外国语学院,本科,2021,升学,同济大学,3
人文学部,外国语学院,本科,2021,升学,上海外国语大学,3
人文学部,外国语学院,本科,2021,升学,华东师范大学,3
人文学部,外国语学院,本科,2021,就业,深圳市宝视佳科技有限公司,2
人文学部,外国语学院,本科,2021,升学,中国传媒大学,2
人文学部,外国语学院,本科,2021,就业,重庆新东方教育培训学校有限公司,2
人文学部,外国语学院,本科,2021,出国(境)留学或工作,爱丁堡大学,2
人文学部,外国语学院,本科,2021,出国(境)留学或工作,纽约大学,2
人文学部,外国语学院,本科,2021,出国(境)留学或工作,澳门大学,2
人文学部,外国语学院,本科,2021,就业,世强先进(深圳)科技股份有限公司,2
人文学部,外国语学院,本科,2021,升学,广西大学,1
人文学部,外国语学院,本科,2021,就业,武汉洛芙科技股份有限公司,1
人文学部,外国语学院,本科,2021,就业,深圳刀刀电子商务有限公司,1
人文学部,外国语学院,本科,2021,就业,小米通讯技术有限公司,1
人文学部,外国语学院,本科,2021,就业,广州乐牛软件科技有限公司,1
人文学部,外国语学院,本科,2021,就业,惠州TCL电器销售有限公司,1
人文学部,外国语学院,本科,2021,出国(境)留学或工作,格拉斯哥大学,1
人文学部,外国语学院,本科,2021,出国(境)留学或工作,伦敦国王学院,1
人文学部,外国语学院,本科,2021,出国(境)留学或工作,悉尼大学,1
人文学部,外国语学院,本科,2021,就业,湖南兴盛优选电子商务有限公司,1
人文学部,外国语学院,本科,2021,就业,上海高顿教育培训有限公司,1
人文学部,外国语学院,本科,2021,就业,阿里巴巴华南技术有限公司广州增城分公司,1
人文学部,外国语学院,本科,2021,就业,深圳顺丰泰森控股(集团)有限公司,1
人文学部,外国语学院,本科,2021,就业,中建桥梁有限公司,1
人文学部,外国语学院,本科,2021,升学,西南政法大学,1
人文学部,外国语学院,本科,2021,升学,湖南大学,1
人文学部,外国语学院,本科,2021,出国(境)留学或工作,纽卡斯尔大学,1
人文学部,外国语学院,本科,2021,升学,华中科技大学,1
人文学部,外国语学院,本科,2021,升学,华中师范大学,1
人文学部,外国语学院,本科,2021,就业,小米之家商业有限公司,1
人文学部,外国语学院,本科,2021,出国(境)留学或工作,日本语言学校,1
人文学部,外国语学院,本科,2021,就业,上海申能信息安全研究所,1
人文学部,外国语学院,本科,2021,就业,厦门朋信教育咨询有限公司,1
人文学部,外国语学院,本科,2021,升学,天津外国语大学,1
人文学部,外国语学院,本科,2021,就业,武汉盛世人才人力资源服务有限公司,1
人文学部,外国语学院,本科,2021,就业,深圳市龙华区龙华第三小学,1
人文学部,外国语学院,本科,2021,选调生,中共黔南州委组织部,1
人文学部,外国语学院,本科,2021,升学,四川大学,1
人文学部,外国语学院,本科,2021,就业,新乡市辅豫实验高级中学,1
人文学部,外国语学院,本科,2021,就业,个体户经营,1
